mass,x,y,z,vx,vy,vz
1.98847e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.3011e+23,18994900.0,37898900.0,18276800.0,-4677070.0,1507580.0,1290110.0
4.8675e+24,83949300.0,-61159700.0,-32830800.0,1904940.0,2162910.0,852698.0
5.97237e+24,-25469900.0,132931000.0,57624600.0,-2576140.0,-418553.0,-181525.0
6.4171e+23,9107210.0,212633000.0,97284500.0,-2012540.0,216137.0,153438.0
1.8982e+27,723788000.0,150162000.0,46745400.0,-251843.0,1061850.0,461269.0
5.6834e+26,1218830000.0,-741999000.0,-358956000.0,420866.0,645417.0,248481.0
8.681e+25,2000080000.0,1987290000.0,842074000.0,-436135.0,340087.0,155103.0
1.02409e+26,4452160000.0,-366703000.0,-260937000.0,42998.1,436848.0,177795.0
