mass,x,y,z,vx,vy,vz
10000000.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,500.0,0.0,0.0,-0.0,141.4213562373095,0.0
1.0,499.99990128421706,0.31419066375036886,0.0,-0.08886653956935528,141.4213283162697,0.0
1.0,499.99960513690723,0.6283812034384282,0.0,-0.17773304404859044,141.4212445531613,0.0
1.0,499.9991115581875,0.9425714950019178,0.0,-0.26659947834759923,141.4211049480174,0.0
1.0,499.9984205482527,1.256761414378675,0.0,-0.35546580737630307,141.42090950089306,0.0
1.0,499.9975321073756,1.570950837506684,0.0,-0.44433199604466495,141.42065821186554,0.0
1.0,499.99644623590723,1.8851396403241258,0.0,-0.5331980092627034,141.42035108103403,0.0
1.0,499.9951629342762,2.1993276987694252,0.0,-0.6220638119405061,141.41998810851976,0.0
1.0,499.99368220298936,2.513514888781302,0.0,-0.7109293689882439,141.41956929446616,0.0
1.0,499.9920040426312,2.827701086298818,0.0,-0.7997946453161845,141.4190946390385,0.0
1.0,499.99012845386454,3.1418861672614278,0.0,-0.8886596058347068,141.41856414242423,0.0
1.0,499.9880554374299,3.4560700076090254,0.0,-0.9775242154543139,141.41797780483287,0.0
1.0,499.98578499414594,3.770252483281997,0.0,-1.0663884390856482,141.4173356264959,0.0
1.0,499.98331712490904,4.084433470221266,0.0,-1.155252241639504,141.4166376076669,0.0
1.0,499.98065183069366,4.398612844368342,0.0,-1.244115588026841,141.4158837486215,0.0
1.0,499.97778911255244,4.712790481665376,0.0,-1.3329784431588012,141.41507404965736,0.0
1.0,499.9747289716155,5.026966258055201,0.0,-1.4218407719467188,141.41420851109422,0.0
1.0,499.9714714090913,5.341140049481387,0.0,-1.5107025393021365,141.41328713327383,0.0
1.0,499.9680164262662,5.655311731888286,0.0,-1.599563710136818,141.41230991656002,0.0
1.0,499.9643640245043,5.969481181221082,0.0,-1.6884242493627637,141.41127686133862,0.0
1.0,499.9605142052479,6.283648273425846,0.0,-1.7772841218922226,141.4101879680176,0.0
1.0,499.9564669700171,6.5978128844495725,0.0,-1.866143292637707,141.4090432370269,0.0
1.0,499.95222232041004,6.9119748902402405,0.0,-1.9550017265120068,141.40784266881855,0.0
1.0,499.94778025810274,7.226134166746859,0.0,-2.0438593884282024,141.40658626386656,0.0
1.0,499.9431407848493,7.5402905899195085,0.0,-2.132716243299679,141.4052740226671,0.0
1.0,499.93830390248144,7.8544440357094025,0.0,-2.2215722560401407,141.40390594573827,0.0
1.0,499.9332696129093,8.168594380068928,0.0,-2.3104273915636244,141.40248203362032,0.0
1.0,499.92803791812076,8.48274149895169,0.0,-2.3992816147845115,141.40100228687547,0.0
1.0,499.92260882018144,8.79688526831258,0.0,-2.4881348906175473,141.39946670608802,0.0
1.0,499.91698232123514,9.111025564107806,0.0,-2.5769871839778475,141.39787529186432,0.0
1.0,499.9111584235037,9.425162262294942,0.0,-2.665838459780918,141.39622804483278,0.0
1.0,499.9051371292866,9.739295238832991,0.0,-2.7546886829426653,141.3945249656438,0.0
1.0,499.8989184409615,10.053424369682421,0.0,-2.843537818379413,141.3927660549699,0.0
1.0,499.89250236098394,10.36754953080522,0.0,-2.9323858310079123,141.39095131350558,0.0
1.0,499.8858888918873,10.681670598164944,0.0,-3.021232685745359,141.38908074196743,0.0
1.0,499.87907803628315,10.99578744772676,0.0,-3.110078347509405,141.38715434109406,0.0
1.0,499.87206979686067,11.309899955457512,0.0,-3.1989227812181755,141.38517211164614,0.0
1.0,499.86486417638724,11.624007997325746,0.0,-3.2877659517902784,141.38313405440638,0.0
1.0,499.85746117770816,11.938111449301779,0.0,-3.3766078241448207,141.38104017017955,0.0
1.0,499.84986080374654,12.25221018735774,0.0,-3.4654483632014235,141.37889045979242,0.0
1.0,499.8420630575035,12.566304087467616,0.0,-3.5542875338802324,141.37668492409387,0.0
1.0,499.834067942058,12.880393025607301,0.0,-3.643125301101934,141.3744235639547,0.0
1.0,499.82587546056715,13.194476877754662,0.0,-3.731961629787771,141.37210638026792,0.0
1.0,499.81748561626574,13.508555519889562,0.0,-3.8207964848595513,141.3697333739485,0.0
1.0,499.8088984124667,13.822628827993922,0.0,-3.909629831239665,141.3673045459334,0.0
1.0,499.80011385256086,14.136696678051777,0.0,-3.9984616338511008,141.36481989718172,0.0
1.0,499.79113194001667,14.450758946049307,0.0,-4.087291857617453,141.36227942867453,0.0
1.0,499.781952678381,14.764815507974905,0.0,-4.176120467462942,141.35968314141496,0.0
1.0,499.7725760712783,15.078866239819211,0.0,-4.264947428312425,141.35703103642822,0.0
1.0,499.763002122411,15.39291101757517,0.0,-4.353772705091409,141.3543231147615,0.0
1.0,499.75323083555963,15.706949717238079,0.0,-4.4425962627260684,141.3515593774841,0.0
1.0,499.74326221458244,16.020982214805635,0.0,-4.531418066143255,141.3487398256873,0.0
1.0,499.73309626341563,16.33500838627798,0.0,-4.620238080270513,141.34586446048436,0.0
1.0,499.72273298607337,16.649028107657752,0.0,-4.7090562700360925,141.34293328301078,0.0
1.0,499.7121723866478,16.963041254950145,0.0,-4.797872600368965,141.3399462944239,0.0
1.0,499.70141446930893,17.27704770416295,0.0,-4.886687036198838,141.3369034959032,0.0
1.0,499.6904592383046,17.59104733130659,0.0,-4.9754995424561645,141.33380488865012,0.0
1.0,499.67930669796056,17.90504001239419,0.0,-5.064310084072158,141.33065047388823,0.0
1.0,499.6679568526807,18.219025623441613,0.0,-5.153118625978813,141.3274402528631,0.0
1.0,499.65640970694653,18.533004040467524,0.0,-5.241925133108908,141.3241742268423,0.0
1.0,499.64466526531766,18.846975139493424,0.0,-5.330729570396031,141.32085239711552,0.0
1.0,499.6327235324315,19.16093879654369,0.0,-5.41953190277458,141.31747476499433,0.0
1.0,499.6205845130034,19.474894887645657,0.0,-5.508332095179789,141.31404133181252,0.0
1.0,499.6082482118266,19.788843288829643,0.0,-5.597130112547736,141.31055209892577,0.0
1.0,499.5957146337723,20.102783876128992,0.0,-5.68592591981536,141.30700706771188,0.0
1.0,499.58298378378953,20.41671652558014,0.0,-5.774719481920466,141.30340623957062,0.0
1.0,499.5700556669052,20.730641113222664,0.0,-5.863510763801754,141.2997496159239,0.0
1.0,499.5569302882242,21.044557515099314,0.0,-5.952299730398818,141.2960371982155,0.0
1.0,499.5436076529292,21.358465607256083,0.0,-6.041086346652171,141.29226898791134,0.0
1.0,499.5300877662808,21.672365265742226,0.0,-6.129870577503248,141.28844498649937,0.0
1.0,499.51637063361767,21.98625636661035,0.0,-6.218652387894433,141.28456519548953,0.0
1.0,499.502456260356,22.300138785916435,0.0,-6.307431742769062,141.28062961641385,0.0
1.0,499.48834465199013,22.614012399719876,0.0,-6.396208607071438,141.27663825082627,0.0
1.0,499.4740358140923,22.92787708408356,0.0,-6.484982945746852,141.27259110030286,0.0
1.0,499.45952975231245,23.241732715073898,0.0,-6.573754723741593,141.26848816644173,0.0
1.0,499.44482647237845,23.555579168760865,0.0,-6.662523906002954,141.26432945086293,0.0
1.0,499.42992598009624,23.869416321218075,0.0,-6.7512904574792625,141.26011495520862,0.0
1.0,499.41482828134923,24.1832440485228,0.0,-6.840054343119876,141.2558446811429,0.0
