mass,x,y,z,vx,vy,vz
1.98847E30,109836.66184219354,39645.74490417317,14174.411158132662,589.934777151508,255.14036352952388,94.26542528725686
3.3011E23,-1.1945536085474238E7,-2.114496065609938E8,-1.117140397235097E8,1429666.2337590274,-386868.8339809236,-354825.90517848736
4.8675E24,1.0810546356206658E8,8.86072032778542E7,3.3033433863722168E7,-1741819.3851421226,1831101.1177653354,934150.4163567665
5.97237E24,1.0984187736548057E8,1.288451660124209E8,5.585436550605014E7,-1870184.9309572047,1299038.916893649,563047.3152379922
6.4171E23,-6.110935784517789E7,-2.0525834706829146E8,-9.24996355782527E7,2042234.9579099903,-350893.17279501125,-216054.92491608293
1.8982E27,5.229450161755516E8,4.937741927750536E8,1.989159487721713E8,-818488.8281623409,770410.3391331811,350142.162513033
5.6834E26,1.3460236488678994E9,-4.925955628659018E8,-2.6141132505774575E8,272505.2441432685,716919.6270466748,284405.6015292035
8.681E25,1.8358420830543706E9,2.1061584018062046E9,8.96452776627978E8,-463524.19059438026,310841.27097952116,142681.42727022216
1.02409E26,4.464573769773421E9,-2.0702233768285218E8,-1.9586555194576904E8,24962.61883646298,438010.54435404326,178719.79658922515
