mass,x,y,z,vx,vy,vz
1.98847E30,9.879804199396156E-31,1.8349533738930067E-31,5.200909084087742E-32,9.879804199396156E-31,1.8349533738930067E-31,5.200909084087742E-32
3.3011E23,1.431783E7,3.940648E7,1.956691E7,-4677070.0,1507580.0,1290110.0
4.8675E24,8.585424E7,-5.899679E7,-3.1978102E7,1904940.0,2162910.0,852698.0
5.97237E24,-2.804604E7,1.32512447E8,5.7443075E7,-2576140.0,-418553.0,-181525.0
6.4171E23,7094670.0,2.12849137E8,9.7437938E7,-2012540.0,216137.0,153438.0
1.8982E27,7.23536157E8,1.5122385E8,4.7206669E7,-251843.0,1061850.0,461269.0
5.6834E26,1.219250866E9,-7.41353583E8,-3.58707519E8,420866.0,645417.0,248481.0
8.681E25,1.999643865E9,1.987630087E9,8.42229103E8,-436135.0,340087.0,155103.0
1.02409E26,4.4522029981E9,-3.66266152E8,-2.60759205E8,42998.1,436848.0,177795.0
